$CL|META|providers=cloud|sources=|records=1053
$CL|REC|t=1770000000000|msg=START RequestId: 196a221f-ccf1-4231-9769-f0e4e8b5db42 Version: $LATEST
$CL|REC|t=1770000000100|msg=[2026-06-05 01:01:00,100] INFO: 下载 S3 -> 本地: s3://sample-batch-processor/input/orders-2026-06-04.csv  ->  /tmp/orders-2026-06-04.csv
$CL|REC|t=1770000000300|msg=[2026-06-05 01:01:00,300] INFO: 校验 CSV 表头 expected=12 actual=12 status=ok
$CL|REC|t=1770000000500|msg=[2026-06-05 01:01:00,500] INFO: 推断 schema: [order_id:str, customer_id:str, sku:str, qty:int, unit_price:decimal, currency:str, region:str, channel:str, status:str, created_at:ts, updated_at:ts, notes:str]
$CL|REC|t=1770000000600|msg=[2026-06-05 01:01:00,600] INFO: 启动批处理进程：python etl_worker.py --input /tmp/orders-2026-06-04.csv --output-prefix s3://sample-batch-processor/parquet/orders/2026-06-05/ --target-format parquet --compression snappy --partition-by region --target-file-size 134217728 --max-concurrency 8 --batch-size 5000 --request-timeout 60 --log-level INFO --db-host db-primary.example.local --db-port 3306 --db-name sample_app --db-user app --db-pass REDACTED --on-conflict overwrite --manifest /tmp/orders-2026-06-04.csv.manifest.json
$CL|REC|t=1770000000800|msg=[2026-06-05 01:01:00,800] INFO: [worker stdout] [2026-06-05 01:01:00,800] INFO: 共加载 1024 个 batch，shards: ['shard-0', 'shard-1', 'shard-2', 'shard-3']
$CL|REC|t=1770000010000|msg=[2026-06-05 01:01:20,000] INFO: [worker stdout] [2026-06-05 01:01:20,000] INFO: [进度] 1/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000135450|msg=[2026-06-05 01:01:25,4450] INFO: [worker stdout] [2026-06-05 01:01:25,4450] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00027.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000135600|msg=[2026-06-05 01:01:24,5600] INFO: [worker stdout] [2026-06-05 01:01:24,5600] INFO: [进度] 541/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000135650|msg=[2026-06-05 01:01:25,4650] INFO: [worker stdout] [2026-06-05 01:01:25,4650] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00028.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000135800|msg=[2026-06-05 01:01:24,5800] INFO: [worker stdout] [2026-06-05 01:01:24,5800] INFO: [进度] 542/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000135850|msg=[2026-06-05 01:01:25,4850] INFO: [worker stdout] [2026-06-05 01:01:25,4850] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00029.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000136000|msg=[2026-06-05 01:01:24,6000] INFO: [worker stdout] [2026-06-05 01:01:24,6000] INFO: [进度] 543/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000136050|msg=[2026-06-05 01:01:25,5050] INFO: [worker stdout] [2026-06-05 01:01:25,5050] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00030.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000136200|msg=[2026-06-05 01:01:24,6200] INFO: [worker stdout] [2026-06-05 01:01:24,6200] INFO: [进度] 544/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000136250|msg=[2026-06-05 01:01:25,5250] INFO: [worker stdout] [2026-06-05 01:01:25,5250] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00031.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000136400|msg=[2026-06-05 01:01:24,6400] INFO: [worker stdout] [2026-06-05 01:01:24,6400] INFO: [进度] 545/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000136450|msg=[2026-06-05 01:01:25,5450] INFO: [worker stdout] [2026-06-05 01:01:25,5450] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00032.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000136600|msg=[2026-06-05 01:01:24,6600] INFO: [worker stdout] [2026-06-05 01:01:24,6600] INFO: [进度] 546/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000136650|msg=[2026-06-05 01:01:25,5650] INFO: [worker stdout] [2026-06-05 01:01:25,5650] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00033.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000136800|msg=[2026-06-05 01:01:24,6800] INFO: [worker stdout] [2026-06-05 01:01:24,6800] INFO: [进度] 547/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000136850|msg=[2026-06-05 01:01:25,5850] INFO: [worker stdout] [2026-06-05 01:01:25,5850] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00034.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000137000|msg=[2026-06-05 01:01:24,7000] INFO: [worker stdout] [2026-06-05 01:01:24,7000] INFO: [进度] 548/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000137050|msg=[2026-06-05 01:01:25,6050] INFO: [worker stdout] [2026-06-05 01:01:25,6050] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00035.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000137200|msg=[2026-06-05 01:01:24,7200] INFO: [worker stdout] [2026-06-05 01:01:24,7200] INFO: [进度] 549/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000137250|msg=[2026-06-05 01:01:25,6250] INFO: [worker stdout] [2026-06-05 01:01:25,6250] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00036.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000137400|msg=[2026-06-05 01:01:24,7400] INFO: [worker stdout] [2026-06-05 01:01:24,7400] INFO: [进度] 550/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000137450|msg=[2026-06-05 01:01:25,6450] INFO: [worker stdout] [2026-06-05 01:01:25,6450] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00037.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000137600|msg=[2026-06-05 01:01:24,7600] INFO: [worker stdout] [2026-06-05 01:01:24,7600] INFO: [进度] 551/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000137650|msg=[2026-06-05 01:01:25,6650] INFO: [worker stdout] [2026-06-05 01:01:25,6650] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00038.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000137800|msg=[2026-06-05 01:01:24,7800] INFO: [worker stdout] [2026-06-05 01:01:24,7800] INFO: [进度] 552/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000137850|msg=[2026-06-05 01:01:25,6850] INFO: [worker stdout] [2026-06-05 01:01:25,6850] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00039.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000138000|msg=[2026-06-05 01:01:24,8000] INFO: [worker stdout] [2026-06-05 01:01:24,8000] INFO: [进度] 553/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000138050|msg=[2026-06-05 01:01:25,7050] INFO: [worker stdout] [2026-06-05 01:01:25,7050] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00040.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000138200|msg=[2026-06-05 01:01:24,8200] INFO: [worker stdout] [2026-06-05 01:01:24,8200] INFO: [进度] 554/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000138250|msg=[2026-06-05 01:01:25,7250] INFO: [worker stdout] [2026-06-05 01:01:25,7250] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00041.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000138400|msg=[2026-06-05 01:01:24,8400] INFO: [worker stdout] [2026-06-05 01:01:24,8400] INFO: [进度] 555/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000138450|msg=[2026-06-05 01:01:25,7450] INFO: [worker stdout] [2026-06-05 01:01:25,7450] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00042.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000138600|msg=[2026-06-05 01:01:24,8600] INFO: [worker stdout] [2026-06-05 01:01:24,8600] INFO: [进度] 556/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000138650|msg=[2026-06-05 01:01:25,7650] INFO: [worker stdout] [2026-06-05 01:01:25,7650] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00043.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000138800|msg=[2026-06-05 01:01:24,8800] INFO: [worker stdout] [2026-06-05 01:01:24,8800] INFO: [进度] 557/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000138850|msg=[2026-06-05 01:01:25,7850] INFO: [worker stdout] [2026-06-05 01:01:25,7850] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00044.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000139000|msg=[2026-06-05 01:01:24,9000] INFO: [worker stdout] [2026-06-05 01:01:24,9000] INFO: [进度] 558/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000139050|msg=[2026-06-05 01:01:25,8050] INFO: [worker stdout] [2026-06-05 01:01:25,8050] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00045.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000139200|msg=[2026-06-05 01:01:24,9200] INFO: [worker stdout] [2026-06-05 01:01:24,9200] INFO: [进度] 559/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000139250|msg=[2026-06-05 01:01:25,8250] INFO: [worker stdout] [2026-06-05 01:01:25,8250] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00046.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000139400|msg=[2026-06-05 01:01:24,9400] INFO: [worker stdout] [2026-06-05 01:01:24,9400] INFO: [进度] 560/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000139450|msg=[2026-06-05 01:01:25,8450] INFO: [worker stdout] [2026-06-05 01:01:25,8450] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00047.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000139600|msg=[2026-06-05 01:01:24,9600] INFO: [worker stdout] [2026-06-05 01:01:24,9600] INFO: [进度] 561/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000139650|msg=[2026-06-05 01:01:25,8650] INFO: [worker stdout] [2026-06-05 01:01:25,8650] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00048.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000139800|msg=[2026-06-05 01:01:24,9800] INFO: [worker stdout] [2026-06-05 01:01:24,9800] INFO: [进度] 562/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000139850|msg=[2026-06-05 01:01:25,8850] INFO: [worker stdout] [2026-06-05 01:01:25,8850] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00049.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000140000|msg=[2026-06-05 01:01:24,10000] INFO: [worker stdout] [2026-06-05 01:01:24,10000] INFO: [进度] 563/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000140050|msg=[2026-06-05 01:01:25,9050] INFO: [worker stdout] [2026-06-05 01:01:25,9050] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00050.snappy.parquet | engine=pyarrow
!$CL|REC|t=1770000140150|msg=[2026-06-05 01:01:25,9150] INFO: [worker stdout] [2026-06-05 01:01:25,9150] INFO: ERROR | shard=shard-2 | batch=50 | reason=s3_throttle | detail=RequestLimitExceeded will retry 1/3
$CL|REC|t=1770000140450|msg=[2026-06-05 01:01:25,9450] INFO: [worker stdout] [2026-06-05 01:01:25,9450] INFO: 重试成功 | shard=shard-2 | batch=50 | ms=300
$CL|REC|t=1770000140200|msg=[2026-06-05 01:01:24,10200] INFO: [worker stdout] [2026-06-05 01:01:24,10200] INFO: [进度] 564/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000140250|msg=[2026-06-05 01:01:25,9250] INFO: [worker stdout] [2026-06-05 01:01:25,9250] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00051.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000140400|msg=[2026-06-05 01:01:24,10400] INFO: [worker stdout] [2026-06-05 01:01:24,10400] INFO: [进度] 565/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000140450|msg=[2026-06-05 01:01:25,9450] INFO: [worker stdout] [2026-06-05 01:01:25,9450] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00052.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000140600|msg=[2026-06-05 01:01:24,10600] INFO: [worker stdout] [2026-06-05 01:01:24,10600] INFO: [进度] 566/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000140650|msg=[2026-06-05 01:01:25,9650] INFO: [worker stdout] [2026-06-05 01:01:25,9650] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00053.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000140800|msg=[2026-06-05 01:01:24,10800] INFO: [worker stdout] [2026-06-05 01:01:24,10800] INFO: [进度] 567/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000140850|msg=[2026-06-05 01:01:25,9850] INFO: [worker stdout] [2026-06-05 01:01:25,9850] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00054.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000141000|msg=[2026-06-05 01:01:24,11000] INFO: [worker stdout] [2026-06-05 01:01:24,11000] INFO: [进度] 568/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000141050|msg=[2026-06-05 01:01:25,10050] INFO: [worker stdout] [2026-06-05 01:01:25,10050] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00055.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000141200|msg=[2026-06-05 01:01:24,11200] INFO: [worker stdout] [2026-06-05 01:01:24,11200] INFO: [进度] 569/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000141250|msg=[2026-06-05 01:01:25,10250] INFO: [worker stdout] [2026-06-05 01:01:25,10250] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00056.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000141400|msg=[2026-06-05 01:01:24,11400] INFO: [worker stdout] [2026-06-05 01:01:24,11400] INFO: [进度] 570/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000141450|msg=[2026-06-05 01:01:25,10450] INFO: [worker stdout] [2026-06-05 01:01:25,10450] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00057.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000141600|msg=[2026-06-05 01:01:24,11600] INFO: [worker stdout] [2026-06-05 01:01:24,11600] INFO: [进度] 571/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000141650|msg=[2026-06-05 01:01:25,10650] INFO: [worker stdout] [2026-06-05 01:01:25,10650] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00058.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000141800|msg=[2026-06-05 01:01:24,11800] INFO: [worker stdout] [2026-06-05 01:01:24,11800] INFO: [进度] 572/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000141850|msg=[2026-06-05 01:01:25,10850] INFO: [worker stdout] [2026-06-05 01:01:25,10850] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00059.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000142000|msg=[2026-06-05 01:01:24,12000] INFO: [worker stdout] [2026-06-05 01:01:24,12000] INFO: [进度] 573/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000142050|msg=[2026-06-05 01:01:25,11050] INFO: [worker stdout] [2026-06-05 01:01:25,11050] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00060.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000142200|msg=[2026-06-05 01:01:24,12200] INFO: [worker stdout] [2026-06-05 01:01:24,12200] INFO: [进度] 574/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000142250|msg=[2026-06-05 01:01:25,11250] INFO: [worker stdout] [2026-06-05 01:01:25,11250] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00061.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000142400|msg=[2026-06-05 01:01:24,12400] INFO: [worker stdout] [2026-06-05 01:01:24,12400] INFO: [进度] 575/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000142450|msg=[2026-06-05 01:01:25,11450] INFO: [worker stdout] [2026-06-05 01:01:25,11450] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00062.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000142600|msg=[2026-06-05 01:01:24,12600] INFO: [worker stdout] [2026-06-05 01:01:24,12600] INFO: [进度] 576/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000142650|msg=[2026-06-05 01:01:25,11650] INFO: [worker stdout] [2026-06-05 01:01:25,11650] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00063.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000190000|msg=[2026-06-05 01:01:26,000] INFO: [worker stdout] [2026-06-05 01:01:26,000] INFO: [进度] 769/1024 | shard=shard-3 | partition=region=LATAM
$CL|REC|t=1770000190050|msg=[2026-06-05 01:01:26,050] INFO: [worker stdout] [2026-06-05 01:01:26,050] INFO: 写出 batch | shard=shard-3 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=latam/part-00000.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000190200|msg=[2026-06-05 01:01:26,200] INFO: [worker stdout] [2026-06-05 01:01:26,200] INFO: [进度] 770/1024 | shard=shard-3 | partition=region=LATAM
$CL|REC|t=1770000190250|msg=[2026-06-05 01:01:26,250] INFO: [worker stdout] [2026-06-05 01:01:26,250] INFO: 写出 batch | shard=shard-3 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=latam/part-00001.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000190400|msg=[2026-06-05 01:01:26,400] INFO: [worker stdout] [2026-06-05 01:01:26,400] INFO: [进度] 771/1024 | shard=shard-3 | partition=region=LATAM
$CL|REC|t=1770000190450|msg=[2026-06-05 01:01:26,450] INFO: [worker stdout] [2026-06-05 01:01:26,450] INFO: 写出 batch | shard=shard-3 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=latam/part-00002.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000190600|msg=[2026-06-05 01:01:26,600] INFO: [worker stdout] [2026-06-05 01:01:26,600] INFO: [进度] 772/1024 | shard=shard-3 | partition=region=LATAM
$CL|REC|t=1770000190650|msg=[2026-06-05 01:01:26,650] INFO: [worker stdout] [2026-06-05 01:01:26,650] INFO: 写出 batch | shard=shard-3 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=latam/part-00003.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000190800|msg=[2026-06-05 01:01:26,800] INFO: [worker stdout] [2026-06-05 01:01:26,800] INFO: [进度] 773/1024 | shard=shard-3 | partition=region=LATAM
$CL|REC|t=1770000190850|msg=[2026-06-05 01:01:26,850] INFO: [worker stdout] [2026-06-05 01:01:26,850] INFO: 写出 batch | shard=shard-3 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=latam/part-00004.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000191000|msg=[2026-06-05 01:01:26,1000] INFO: [worker stdout] [2026-06-05 01:01:26,1000] INFO: [进度] 774/1024 | shard=shard-3 | partition=region=LATAM
$CL|REC|t=1770000191050|msg=[2026-06-05 01:01:27,050] INFO: [worker stdout] [2026-06-05 01:01:27,050] INFO: 写出 batch | shard=shard-3 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=latam/part-00005.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000191200|msg=[2026-06-05 01:01:26,1200] INFO: [worker stdout] [2026-06-05 01:01:26,1200] INFO: [进度] 775/1024 | shard=shard-3 | partition=region=LATAM
$CL|REC|t=1770000191250|msg=[2026-06-05 01:01:27,250] INFO: [worker stdout] [2026-06-05 01:01:27,250] INFO: 写出 batch | shard=shard-3 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=latam/part-00006.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000191400|msg=[2026-06-05 01:01:26,1400] INFO: [worker stdout] [2026-06-05 01:01:26,1400] INFO: [进度] 776/1024 | shard=shard-3 | partition=region=LATAM
$CL|REC|t=1770000191450|msg=[2026-06-05 01:01:27,450] INFO: [worker stdout] [2026-06-05 01:01:27,450] INFO: 写出 batch | shard=shard-3 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=latam/part-00007.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000191600|msg=[2026-06-05 01:01:26,1600] INFO: [worker stdout] [2026-06-05 01:01:26,1600] INFO: [进度] 777/1024 | shard=shard-3 | partition=region=LATAM
$CL|REC|t=1770000191650|msg=[2026-06-05 01:01:27,650] INFO: [worker stdout] [2026-06-05 01:01:27,650] INFO: 写出 batch | shard=shard-3 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=latam/part-00008.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000191800|msg=[2026-06-05 01:01:26,1800] INFO: [worker stdout] [2026-06-05 01:01:26,1800] INFO: [进度] 778/1024 | shard=shard-3 | partition=region=LATAM
$CL|REC|t=1770000191850|msg=[2026-06-05 01:01:27,850] INFO: [worker stdout] [2026-06-05 01:01:27,850] INFO: 写出 batch | shard=shard-3 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=latam/part-00009.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000192000|msg=[2026-06-05 01:01:26,2000] INFO: [worker stdout] [2026-06-05 01:01:26,2000] INFO: [进度] 779/1024 | shard=shard-3 | partition=region=LATAM
$CL|REC|t=1770000192050|msg=[2026-06-05 01:01:27,1050] INFO: [worker stdout] [2026-06-05 01:01:27,1050] INFO: 写出 batch | shard=shard-3 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=latam/part-00010.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000192200|msg=[2026-06-05 01:01:26,2200] INFO: [worker stdout] [2026-06-05 01:01:26,2200] INFO: [进度] 780/1024 | shard=shard-3 | partition=region=LATAM
$CL|REC|t=1770000192250|msg=[2026-06-05 01:01:27,1250] INFO: [worker stdout] [2026-06-05 01:01:27,1250] INFO: 写出 batch | shard=shard-3 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=latam/part-00011.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000192400|msg=[2026-06-05 01:01:26,2400] INFO: [worker stdout] [2026-06-05 01:01:26,2400] INFO: [进度] 781/1024 | shard=shard-3 | partition=region=LATAM
$CL|REC|t=1770000192450|msg=[2026-06-05 01:01:27,1450] INFO: [worker stdout] [2026-06-05 01:01:27,1450] INFO: 写出 batch | shard=shard-3 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=latam/part-00012.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000192600|msg=[2026-06-05 01:01:26,2600] INFO: [worker stdout] [2026-06-05 01:01:26,2600] INFO: [进度] 782/1024 | shard=shard-3 | partition=region=LATAM
$CL|REC|t=1770000192650|msg=[2026-06-05 01:01:27,1650] INFO: [worker stdout] [2026-06-05 01:01:27,1650] INFO: 写出 batch | shard=shard-3 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=latam/part-00013.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000192800|msg=[2026-06-05 01:01:26,2800] INFO: [worker stdout] [2026-06-05 01:01:26,2800] INFO: [进度] 783/1024 | shard=shard-3 | partition=region=LATAM
$CL|REC|t=1770000192850|msg=[2026-06-05 01:01:27,1850] INFO: [worker stdout] [2026-06-05 01:01:27,1850] INFO: 写出 batch | shard=shard-3 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=latam/part-00014.snappy.parquet | engine=pyarrow
