$CL|META|providers=cloud|sources=|records=1625
$CL|REC|t=1775437264228|msg=START RequestId: b2c3d4e5-f6a7-8901-bcde-f23456789012 Version: $LATEST
$CL|REC|t=1775437264238|msg=[2026-04-06 01:01:04,238] INFO: 下载 S3 -> 本地: s3://sample-batch-processor/input/docs-manifest-2026-04-06.json  ->  /tmp/docs-manifest-2026-04-06.json
$CL|REC|t=1775437264258|msg=[2026-04-06 01:01:04,258] INFO: 加载清单 200 个文档来源，类别: [manual, report, spec, contract, faq]
$CL|REC|t=1775437264278|msg=[2026-04-06 01:01:04,278] INFO: 启动批处理进程：python doc_indexer.py --input /tmp/docs-manifest-2026-04-06.json --output-index sample-search-prod --parser auto --max-concurrency 6 --request-timeout 60 --chunk-size 1024 --chunk-overlap 128 --log-level INFO --db-host db-primary.example.local --db-port 3306 --db-name sample_app --db-user app --db-pass REDACTED --on-conflict upsert
$CL|REC|t=1775437313828|msg=[2026-04-06 01:01:14,600] INFO: [worker stdout] [2026-04-06 01:01:14,600] INFO: [进度] 95/200 | shard=shard-1 | category=contract | doc=doc-0005.pdf
$CL|REC|t=1775437313908|msg=[2026-04-06 01:01:15,680] INFO: [worker stdout] [2026-04-06 01:01:15,680] INFO: 解析中 | doc=doc-0005.pdf | pages=16 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437314048|msg=[2026-04-06 01:01:15,820] INFO: [worker stdout] [2026-04-06 01:01:15,820] INFO: 索引中 | doc=doc-0005.pdf | chunks=184 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437314108|msg=[2026-04-06 01:01:15,880] INFO: [worker stdout] [2026-04-06 01:01:15,880] INFO: 完成 | doc=doc-0005.pdf | ms=280 | chunks_indexed=184
$CL|REC|t=1775437314228|msg=[2026-04-06 01:01:14,000] INFO: [worker stdout] [2026-04-06 01:01:14,000] INFO: [进度] 96/200 | shard=shard-1 | category=faq | doc=doc-0006.pdf
$CL|REC|t=1775437314308|msg=[2026-04-06 01:01:15,080] INFO: [worker stdout] [2026-04-06 01:01:15,080] INFO: 解析中 | doc=doc-0006.pdf | pages=4 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437314448|msg=[2026-04-06 01:01:15,220] INFO: [worker stdout] [2026-04-06 01:01:15,220] INFO: 索引中 | doc=doc-0006.pdf | chunks=48 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437314508|msg=[2026-04-06 01:01:15,280] INFO: [worker stdout] [2026-04-06 01:01:15,280] INFO: 完成 | doc=doc-0006.pdf | ms=280 | chunks_indexed=48
$CL|REC|t=1775437314628|msg=[2026-04-06 01:01:14,400] INFO: [worker stdout] [2026-04-06 01:01:14,400] INFO: [进度] 97/200 | shard=shard-1 | category=manual | doc=doc-0001.pdf
$CL|REC|t=1775437314708|msg=[2026-04-06 01:01:15,480] INFO: [worker stdout] [2026-04-06 01:01:15,480] INFO: 解析中 | doc=doc-0001.pdf | pages=12 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437314848|msg=[2026-04-06 01:01:15,620] INFO: [worker stdout] [2026-04-06 01:01:15,620] INFO: 索引中 | doc=doc-0001.pdf | chunks=148 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437314908|msg=[2026-04-06 01:01:15,680] INFO: [worker stdout] [2026-04-06 01:01:15,680] INFO: 完成 | doc=doc-0001.pdf | ms=280 | chunks_indexed=148
$CL|REC|t=1775437315028|msg=[2026-04-06 01:01:14,800] INFO: [worker stdout] [2026-04-06 01:01:14,800] INFO: [进度] 98/200 | shard=shard-1 | category=manual | doc=doc-0002.pdf
$CL|REC|t=1775437315108|msg=[2026-04-06 01:01:15,880] INFO: [worker stdout] [2026-04-06 01:01:15,880] INFO: 解析中 | doc=doc-0002.pdf | pages=18 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437315248|msg=[2026-04-06 01:01:15,020] INFO: [worker stdout] [2026-04-06 01:01:15,020] INFO: 索引中 | doc=doc-0002.pdf | chunks=226 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437315308|msg=[2026-04-06 01:01:15,080] INFO: [worker stdout] [2026-04-06 01:01:15,080] INFO: 完成 | doc=doc-0002.pdf | ms=280 | chunks_indexed=226
$CL|REC|t=1775437315428|msg=[2026-04-06 01:01:14,200] INFO: [worker stdout] [2026-04-06 01:01:14,200] INFO: [进度] 99/200 | shard=shard-1 | category=report | doc=doc-0003.pdf
$CL|REC|t=1775437315508|msg=[2026-04-06 01:01:15,280] INFO: [worker stdout] [2026-04-06 01:01:15,280] INFO: 解析中 | doc=doc-0003.pdf | pages=8 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437315648|msg=[2026-04-06 01:01:15,420] INFO: [worker stdout] [2026-04-06 01:01:15,420] INFO: 索引中 | doc=doc-0003.pdf | chunks=92 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437315708|msg=[2026-04-06 01:01:15,480] INFO: [worker stdout] [2026-04-06 01:01:15,480] INFO: 完成 | doc=doc-0003.pdf | ms=280 | chunks_indexed=92
$CL|REC|t=1775437315828|msg=[2026-04-06 01:01:14,600] INFO: [worker stdout] [2026-04-06 01:01:14,600] INFO: [进度] 100/200 | shard=shard-1 | category=spec | doc=doc-0004.pdf
$CL|REC|t=1775437315908|msg=[2026-04-06 01:01:15,680] INFO: [worker stdout] [2026-04-06 01:01:15,680] INFO: 解析中 | doc=doc-0004.pdf | pages=24 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437316048|msg=[2026-04-06 01:01:15,820] INFO: [worker stdout] [2026-04-06 01:01:15,820] INFO: 索引中 | doc=doc-0004.pdf | chunks=312 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437316108|msg=[2026-04-06 01:01:15,880] INFO: [worker stdout] [2026-04-06 01:01:15,880] INFO: 完成 | doc=doc-0004.pdf | ms=280 | chunks_indexed=312
$CL|REC|t=1775437326228|msg=[2026-04-06 01:01:22,000] INFO: [worker stdout] [2026-04-06 01:01:22,000] INFO: [进度] 101/200 | shard=shard-2 | category=contract | doc=doc-0005.pdf
$CL|REC|t=1775437326308|msg=[2026-04-06 01:01:22,080] INFO: [worker stdout] [2026-04-06 01:01:22,080] INFO: 解析中 | doc=doc-0005.pdf | pages=16 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437326448|msg=[2026-04-06 01:01:22,220] INFO: [worker stdout] [2026-04-06 01:01:22,220] INFO: 索引中 | doc=doc-0005.pdf | chunks=184 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437326508|msg=[2026-04-06 01:01:22,280] INFO: [worker stdout] [2026-04-06 01:01:22,280] INFO: 完成 | doc=doc-0005.pdf | ms=280 | chunks_indexed=184
$CL|REC|t=1775437326628|msg=[2026-04-06 01:01:22,400] INFO: [worker stdout] [2026-04-06 01:01:22,400] INFO: [进度] 102/200 | shard=shard-2 | category=faq | doc=doc-0006.pdf
$CL|REC|t=1775437326708|msg=[2026-04-06 01:01:22,480] INFO: [worker stdout] [2026-04-06 01:01:22,480] INFO: 解析中 | doc=doc-0006.pdf | pages=4 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437326848|msg=[2026-04-06 01:01:22,620] INFO: [worker stdout] [2026-04-06 01:01:22,620] INFO: 索引中 | doc=doc-0006.pdf | chunks=48 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437326908|msg=[2026-04-06 01:01:22,680] INFO: [worker stdout] [2026-04-06 01:01:22,680] INFO: 完成 | doc=doc-0006.pdf | ms=280 | chunks_indexed=48
$CL|REC|t=1775437327028|msg=[2026-04-06 01:01:22,800] INFO: [worker stdout] [2026-04-06 01:01:22,800] INFO: [进度] 103/200 | shard=shard-2 | category=manual | doc=doc-0001.pdf
$CL|REC|t=1775437327108|msg=[2026-04-06 01:01:22,880] INFO: [worker stdout] [2026-04-06 01:01:22,880] INFO: 解析中 | doc=doc-0001.pdf | pages=12 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437327248|msg=[2026-04-06 01:01:23,020] INFO: [worker stdout] [2026-04-06 01:01:23,020] INFO: 索引中 | doc=doc-0001.pdf | chunks=148 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437327308|msg=[2026-04-06 01:01:23,080] INFO: [worker stdout] [2026-04-06 01:01:23,080] INFO: 完成 | doc=doc-0001.pdf | ms=280 | chunks_indexed=148
$CL|REC|t=1775437327428|msg=[2026-04-06 01:01:22,200] INFO: [worker stdout] [2026-04-06 01:01:22,200] INFO: [进度] 104/200 | shard=shard-2 | category=manual | doc=doc-0002.pdf
$CL|REC|t=1775437327508|msg=[2026-04-06 01:01:23,280] INFO: [worker stdout] [2026-04-06 01:01:23,280] INFO: 解析中 | doc=doc-0002.pdf | pages=18 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437327648|msg=[2026-04-06 01:01:23,420] INFO: [worker stdout] [2026-04-06 01:01:23,420] INFO: 索引中 | doc=doc-0002.pdf | chunks=226 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437327708|msg=[2026-04-06 01:01:23,480] INFO: [worker stdout] [2026-04-06 01:01:23,480] INFO: 完成 | doc=doc-0002.pdf | ms=280 | chunks_indexed=226
$CL|REC|t=1775437327828|msg=[2026-04-06 01:01:22,600] INFO: [worker stdout] [2026-04-06 01:01:22,600] INFO: [进度] 105/200 | shard=shard-2 | category=report | doc=doc-0003.pdf
$CL|REC|t=1775437327908|msg=[2026-04-06 01:01:23,680] INFO: [worker stdout] [2026-04-06 01:01:23,680] INFO: 解析中 | doc=doc-0003.pdf | pages=8 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437328048|msg=[2026-04-06 01:01:23,820] INFO: [worker stdout] [2026-04-06 01:01:23,820] INFO: 索引中 | doc=doc-0003.pdf | chunks=92 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437328108|msg=[2026-04-06 01:01:23,880] INFO: [worker stdout] [2026-04-06 01:01:23,880] INFO: 完成 | doc=doc-0003.pdf | ms=280 | chunks_indexed=92
$CL|REC|t=1775437328228|msg=[2026-04-06 01:01:22,000] INFO: [worker stdout] [2026-04-06 01:01:22,000] INFO: [进度] 106/200 | shard=shard-2 | category=spec | doc=doc-0004.pdf
$CL|REC|t=1775437328308|msg=[2026-04-06 01:01:23,080] INFO: [worker stdout] [2026-04-06 01:01:23,080] INFO: 解析中 | doc=doc-0004.pdf | pages=24 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437328448|msg=[2026-04-06 01:01:23,220] INFO: [worker stdout] [2026-04-06 01:01:23,220] INFO: 索引中 | doc=doc-0004.pdf | chunks=312 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437328508|msg=[2026-04-06 01:01:23,280] INFO: [worker stdout] [2026-04-06 01:01:23,280] INFO: 完成 | doc=doc-0004.pdf | ms=280 | chunks_indexed=312
$CL|REC|t=1775437328628|msg=[2026-04-06 01:01:22,400] INFO: [worker stdout] [2026-04-06 01:01:22,400] INFO: [进度] 107/200 | shard=shard-2 | category=contract | doc=doc-0005.pdf
$CL|REC|t=1775437328708|msg=[2026-04-06 01:01:23,480] INFO: [worker stdout] [2026-04-06 01:01:23,480] INFO: 解析中 | doc=doc-0005.pdf | pages=16 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437328848|msg=[2026-04-06 01:01:23,620] INFO: [worker stdout] [2026-04-06 01:01:23,620] INFO: 索引中 | doc=doc-0005.pdf | chunks=184 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437328908|msg=[2026-04-06 01:01:23,680] INFO: [worker stdout] [2026-04-06 01:01:23,680] INFO: 完成 | doc=doc-0005.pdf | ms=280 | chunks_indexed=184
$CL|REC|t=1775437329028|msg=[2026-04-06 01:01:22,800] INFO: [worker stdout] [2026-04-06 01:01:22,800] INFO: [进度] 108/200 | shard=shard-2 | category=faq | doc=doc-0006.pdf
$CL|REC|t=1775437329108|msg=[2026-04-06 01:01:23,880] INFO: [worker stdout] [2026-04-06 01:01:23,880] INFO: 解析中 | doc=doc-0006.pdf | pages=4 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437329248|msg=[2026-04-06 01:01:23,020] INFO: [worker stdout] [2026-04-06 01:01:23,020] INFO: 索引中 | doc=doc-0006.pdf | chunks=48 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437329308|msg=[2026-04-06 01:01:23,080] INFO: [worker stdout] [2026-04-06 01:01:23,080] INFO: 完成 | doc=doc-0006.pdf | ms=280 | chunks_indexed=48
$CL|REC|t=1775437329428|msg=[2026-04-06 01:01:22,200] INFO: [worker stdout] [2026-04-06 01:01:22,200] INFO: [进度] 109/200 | shard=shard-2 | category=manual | doc=doc-0001.pdf
$CL|REC|t=1775437329508|msg=[2026-04-06 01:01:23,280] INFO: [worker stdout] [2026-04-06 01:01:23,280] INFO: 解析中 | doc=doc-0001.pdf | pages=12 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437329648|msg=[2026-04-06 01:01:23,420] INFO: [worker stdout] [2026-04-06 01:01:23,420] INFO: 索引中 | doc=doc-0001.pdf | chunks=148 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437329708|msg=[2026-04-06 01:01:23,480] INFO: [worker stdout] [2026-04-06 01:01:23,480] INFO: 完成 | doc=doc-0001.pdf | ms=280 | chunks_indexed=148
$CL|REC|t=1775437329828|msg=[2026-04-06 01:01:22,600] INFO: [worker stdout] [2026-04-06 01:01:22,600] INFO: [进度] 110/200 | shard=shard-2 | category=manual | doc=doc-0002.pdf
$CL|REC|t=1775437329908|msg=[2026-04-06 01:01:23,680] INFO: [worker stdout] [2026-04-06 01:01:23,680] INFO: 解析中 | doc=doc-0002.pdf | pages=18 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437330048|msg=[2026-04-06 01:01:23,820] INFO: [worker stdout] [2026-04-06 01:01:23,820] INFO: 索引中 | doc=doc-0002.pdf | chunks=226 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437330108|msg=[2026-04-06 01:01:23,880] INFO: [worker stdout] [2026-04-06 01:01:23,880] INFO: 完成 | doc=doc-0002.pdf | ms=280 | chunks_indexed=226
$CL|REC|t=1775437330228|msg=[2026-04-06 01:01:22,000] INFO: [worker stdout] [2026-04-06 01:01:22,000] INFO: [进度] 111/200 | shard=shard-2 | category=report | doc=doc-0003.pdf
$CL|REC|t=1775437330308|msg=[2026-04-06 01:01:23,080] INFO: [worker stdout] [2026-04-06 01:01:23,080] INFO: 解析中 | doc=doc-0003.pdf | pages=8 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437330448|msg=[2026-04-06 01:01:23,220] INFO: [worker stdout] [2026-04-06 01:01:23,220] INFO: 索引中 | doc=doc-0003.pdf | chunks=92 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437330508|msg=[2026-04-06 01:01:23,280] INFO: [worker stdout] [2026-04-06 01:01:23,280] INFO: 完成 | doc=doc-0003.pdf | ms=280 | chunks_indexed=92
$CL|REC|t=1775437330628|msg=[2026-04-06 01:01:22,400] INFO: [worker stdout] [2026-04-06 01:01:22,400] INFO: [进度] 112/200 | shard=shard-2 | category=spec | doc=doc-0004.pdf
$CL|REC|t=1775437330708|msg=[2026-04-06 01:01:23,480] INFO: [worker stdout] [2026-04-06 01:01:23,480] INFO: 解析中 | doc=doc-0004.pdf | pages=24 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437330848|msg=[2026-04-06 01:01:23,620] INFO: [worker stdout] [2026-04-06 01:01:23,620] INFO: 索引中 | doc=doc-0004.pdf | chunks=312 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437330908|msg=[2026-04-06 01:01:23,680] INFO: [worker stdout] [2026-04-06 01:01:23,680] INFO: 完成 | doc=doc-0004.pdf | ms=280 | chunks_indexed=312
$CL|REC|t=1775437331028|msg=[2026-04-06 01:01:22,800] INFO: [worker stdout] [2026-04-06 01:01:22,800] INFO: [进度] 113/200 | shard=shard-2 | category=contract | doc=doc-0005.pdf
$CL|REC|t=1775437331108|msg=[2026-04-06 01:01:23,880] INFO: [worker stdout] [2026-04-06 01:01:23,880] INFO: 解析中 | doc=doc-0005.pdf | pages=16 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437331248|msg=[2026-04-06 01:01:23,020] INFO: [worker stdout] [2026-04-06 01:01:23,020] INFO: 索引中 | doc=doc-0005.pdf | chunks=184 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437331308|msg=[2026-04-06 01:01:23,080] INFO: [worker stdout] [2026-04-06 01:01:23,080] INFO: 完成 | doc=doc-0005.pdf | ms=280 | chunks_indexed=184
$CL|REC|t=1775437331428|msg=[2026-04-06 01:01:22,200] INFO: [worker stdout] [2026-04-06 01:01:22,200] INFO: [进度] 114/200 | shard=shard-2 | category=faq | doc=doc-0006.pdf
$CL|REC|t=1775437331508|msg=[2026-04-06 01:01:23,280] INFO: [worker stdout] [2026-04-06 01:01:23,280] INFO: 解析中 | doc=doc-0006.pdf | pages=4 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437331648|msg=[2026-04-06 01:01:23,420] INFO: [worker stdout] [2026-04-06 01:01:23,420] INFO: 索引中 | doc=doc-0006.pdf | chunks=48 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437331708|msg=[2026-04-06 01:01:23,480] INFO: [worker stdout] [2026-04-06 01:01:23,480] INFO: 完成 | doc=doc-0006.pdf | ms=280 | chunks_indexed=48
$CL|REC|t=1775437331828|msg=[2026-04-06 01:01:22,600] INFO: [worker stdout] [2026-04-06 01:01:22,600] INFO: [进度] 115/200 | shard=shard-2 | category=manual | doc=doc-0001.pdf
$CL|REC|t=1775437331908|msg=[2026-04-06 01:01:23,680] INFO: [worker stdout] [2026-04-06 01:01:23,680] INFO: 解析中 | doc=doc-0001.pdf | pages=12 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437332048|msg=[2026-04-06 01:01:23,820] INFO: [worker stdout] [2026-04-06 01:01:23,820] INFO: 索引中 | doc=doc-0001.pdf | chunks=148 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437332108|msg=[2026-04-06 01:01:23,880] INFO: [worker stdout] [2026-04-06 01:01:23,880] INFO: 完成 | doc=doc-0001.pdf | ms=280 | chunks_indexed=148
$CL|REC|t=1775437332228|msg=[2026-04-06 01:01:22,000] INFO: [worker stdout] [2026-04-06 01:01:22,000] INFO: [进度] 116/200 | shard=shard-2 | category=manual | doc=doc-0002.pdf
$CL|REC|t=1775437332308|msg=[2026-04-06 01:01:23,080] INFO: [worker stdout] [2026-04-06 01:01:23,080] INFO: 解析中 | doc=doc-0002.pdf | pages=18 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437332448|msg=[2026-04-06 01:01:23,220] INFO: [worker stdout] [2026-04-06 01:01:23,220] INFO: 索引中 | doc=doc-0002.pdf | chunks=226 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437332508|msg=[2026-04-06 01:01:23,280] INFO: [worker stdout] [2026-04-06 01:01:23,280] INFO: 完成 | doc=doc-0002.pdf | ms=280 | chunks_indexed=226
$CL|REC|t=1775437332628|msg=[2026-04-06 01:01:22,400] INFO: [worker stdout] [2026-04-06 01:01:22,400] INFO: [进度] 117/200 | shard=shard-2 | category=report | doc=doc-0003.pdf
$CL|REC|t=1775437332708|msg=[2026-04-06 01:01:23,480] INFO: [worker stdout] [2026-04-06 01:01:23,480] INFO: 解析中 | doc=doc-0003.pdf | pages=8 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437332848|msg=[2026-04-06 01:01:23,620] INFO: [worker stdout] [2026-04-06 01:01:23,620] INFO: 索引中 | doc=doc-0003.pdf | chunks=92 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437332908|msg=[2026-04-06 01:01:23,680] INFO: [worker stdout] [2026-04-06 01:01:23,680] INFO: 完成 | doc=doc-0003.pdf | ms=280 | chunks_indexed=92
$CL|REC|t=1775437333028|msg=[2026-04-06 01:01:22,800] INFO: [worker stdout] [2026-04-06 01:01:22,800] INFO: [进度] 118/200 | shard=shard-2 | category=spec | doc=doc-0004.pdf
$CL|REC|t=1775437333108|msg=[2026-04-06 01:01:23,880] INFO: [worker stdout] [2026-04-06 01:01:23,880] INFO: 解析中 | doc=doc-0004.pdf | pages=24 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437333248|msg=[2026-04-06 01:01:23,020] INFO: [worker stdout] [2026-04-06 01:01:23,020] INFO: 索引中 | doc=doc-0004.pdf | chunks=312 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437333308|msg=[2026-04-06 01:01:23,080] INFO: [worker stdout] [2026-04-06 01:01:23,080] INFO: 完成 | doc=doc-0004.pdf | ms=280 | chunks_indexed=312
$CL|REC|t=1775437333428|msg=[2026-04-06 01:01:22,200] INFO: [worker stdout] [2026-04-06 01:01:22,200] INFO: [进度] 119/200 | shard=shard-2 | category=contract | doc=doc-0005.pdf
$CL|REC|t=1775437333508|msg=[2026-04-06 01:01:23,280] INFO: [worker stdout] [2026-04-06 01:01:23,280] INFO: 解析中 | doc=doc-0005.pdf | pages=16 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437333648|msg=[2026-04-06 01:01:23,420] INFO: [worker stdout] [2026-04-06 01:01:23,420] INFO: 索引中 | doc=doc-0005.pdf | chunks=184 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437333708|msg=[2026-04-06 01:01:23,480] INFO: [worker stdout] [2026-04-06 01:01:23,480] INFO: 完成 | doc=doc-0005.pdf | ms=280 | chunks_indexed=184
$CL|REC|t=1775437333828|msg=[2026-04-06 01:01:22,600] INFO: [worker stdout] [2026-04-06 01:01:22,600] INFO: [进度] 120/200 | shard=shard-2 | category=faq | doc=doc-0006.pdf
$CL|REC|t=1775437333908|msg=[2026-04-06 01:01:23,680] INFO: [worker stdout] [2026-04-06 01:01:23,680] INFO: 解析中 | doc=doc-0006.pdf | pages=4 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437334048|msg=[2026-04-06 01:01:23,820] INFO: [worker stdout] [2026-04-06 01:01:23,820] INFO: 索引中 | doc=doc-0006.pdf | chunks=48 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437334108|msg=[2026-04-06 01:01:23,880] INFO: [worker stdout] [2026-04-06 01:01:23,880] INFO: 完成 | doc=doc-0006.pdf | ms=280 | chunks_indexed=48
$CL|REC|t=1775437334228|msg=[2026-04-06 01:01:22,000] INFO: [worker stdout] [2026-04-06 01:01:22,000] INFO: [进度] 121/200 | shard=shard-2 | category=manual | doc=doc-0001.pdf
$CL|REC|t=1775437334308|msg=[2026-04-06 01:01:23,080] INFO: [worker stdout] [2026-04-06 01:01:23,080] INFO: 解析中 | doc=doc-0001.pdf | pages=12 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437334448|msg=[2026-04-06 01:01:23,220] INFO: [worker stdout] [2026-04-06 01:01:23,220] INFO: 索引中 | doc=doc-0001.pdf | chunks=148 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437334508|msg=[2026-04-06 01:01:23,280] INFO: [worker stdout] [2026-04-06 01:01:23,280] INFO: 完成 | doc=doc-0001.pdf | ms=280 | chunks_indexed=148
$CL|REC|t=1775437334628|msg=[2026-04-06 01:01:22,400] INFO: [worker stdout] [2026-04-06 01:01:22,400] INFO: [进度] 122/200 | shard=shard-2 | category=manual | doc=doc-0002.pdf
$CL|REC|t=1775437334708|msg=[2026-04-06 01:01:23,480] INFO: [worker stdout] [2026-04-06 01:01:23,480] INFO: 解析中 | doc=doc-0002.pdf | pages=18 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437334848|msg=[2026-04-06 01:01:23,620] INFO: [worker stdout] [2026-04-06 01:01:23,620] INFO: 索引中 | doc=doc-0002.pdf | chunks=226 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437334908|msg=[2026-04-06 01:01:23,680] INFO: [worker stdout] [2026-04-06 01:01:23,680] INFO: 完成 | doc=doc-0002.pdf | ms=280 | chunks_indexed=226
$CL|REC|t=1775437335028|msg=[2026-04-06 01:01:22,800] INFO: [worker stdout] [2026-04-06 01:01:22,800] INFO: [进度] 123/200 | shard=shard-2 | category=report | doc=doc-0003.pdf
$CL|REC|t=1775437335108|msg=[2026-04-06 01:01:23,880] INFO: [worker stdout] [2026-04-06 01:01:23,880] INFO: 解析中 | doc=doc-0003.pdf | pages=8 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437335248|msg=[2026-04-06 01:01:23,020] INFO: [worker stdout] [2026-04-06 01:01:23,020] INFO: 索引中 | doc=doc-0003.pdf | chunks=92 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437335308|msg=[2026-04-06 01:01:23,080] INFO: [worker stdout] [2026-04-06 01:01:23,080] INFO: 完成 | doc=doc-0003.pdf | ms=280 | chunks_indexed=92
$CL|REC|t=1775437335428|msg=[2026-04-06 01:01:22,200] INFO: [worker stdout] [2026-04-06 01:01:22,200] INFO: [进度] 124/200 | shard=shard-2 | category=spec | doc=doc-0004.pdf
$CL|REC|t=1775437335508|msg=[2026-04-06 01:01:23,280] INFO: [worker stdout] [2026-04-06 01:01:23,280] INFO: 解析中 | doc=doc-0004.pdf | pages=24 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437335648|msg=[2026-04-06 01:01:23,420] INFO: [worker stdout] [2026-04-06 01:01:23,420] INFO: 索引中 | doc=doc-0004.pdf | chunks=312 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437335708|msg=[2026-04-06 01:01:23,480] INFO: [worker stdout] [2026-04-06 01:01:23,480] INFO: 完成 | doc=doc-0004.pdf | ms=280 | chunks_indexed=312
$CL|REC|t=1775437335828|msg=[2026-04-06 01:01:22,600] INFO: [worker stdout] [2026-04-06 01:01:22,600] INFO: [进度] 125/200 | shard=shard-2 | category=contract | doc=doc-0005.pdf
$CL|REC|t=1775437335908|msg=[2026-04-06 01:01:23,680] INFO: [worker stdout] [2026-04-06 01:01:23,680] INFO: 解析中 | doc=doc-0005.pdf | pages=16 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437336048|msg=[2026-04-06 01:01:23,820] INFO: [worker stdout] [2026-04-06 01:01:23,820] INFO: 索引中 | doc=doc-0005.pdf | chunks=184 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437336108|msg=[2026-04-06 01:01:23,880] INFO: [worker stdout] [2026-04-06 01:01:23,880] INFO: 完成 | doc=doc-0005.pdf | ms=280 | chunks_indexed=184
$CL|REC|t=1775437336228|msg=[2026-04-06 01:01:22,000] INFO: [worker stdout] [2026-04-06 01:01:22,000] INFO: [进度] 126/200 | shard=shard-2 | category=faq | doc=doc-0006.pdf
$CL|REC|t=1775437336308|msg=[2026-04-06 01:01:23,080] INFO: [worker stdout] [2026-04-06 01:01:23,080] INFO: 解析中 | doc=doc-0006.pdf | pages=4 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437336448|msg=[2026-04-06 01:01:23,220] INFO: [worker stdout] [2026-04-06 01:01:23,220] INFO: 索引中 | doc=doc-0006.pdf | chunks=48 | embedding_model=text-emb-3s | index=sample-search-prod
